	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Rapgef5	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.17863213694527139	aracne_Microglia_B6J
Lsamp	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.1128870190969706	aracne_Microglia_B6J
Peak1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.17680594574838335	aracne_Microglia_B6J
Slc9a9	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.10732890556006124	aracne_Microglia_B6J
Fhit	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.11147882470555741	aracne_Microglia_B6J
2610203C22Rik	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.16449168227559616	aracne_Microglia_B6J
Meg3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.12060241551505156	aracne_Microglia_B6J
Atxn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0830119632812078	aracne_Microglia_B6J
Cdk8	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.1287879298786768	aracne_Microglia_B6J
Fat3	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.19859250362592343	aracne_Microglia_B6J
Acer3	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.09370653336966653	aracne_Microglia_B6J
Nr3c2	28	0.19444444444444445	4	0.027777777777777776	24	0.16666666666666666	248.0	0.2962825227092375	aracne_Microglia_B6J
Srgap2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.07437029985567875	aracne_Microglia_B6J
P2ry12	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.12842793505951924	aracne_Microglia_B6J
Rbfox1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.1172358247424	aracne_Microglia_B6J
Pbx1	31	0.2152777777777778	2	0.013888888888888888	29	0.2013888888888889	198.0	0.30999102377819204	aracne_Microglia_B6J
Dlg2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08710953514133878	aracne_Microglia_B6J
Whrn	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08698734547783363	aracne_Microglia_B6J
Cacnb2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.08414802807334924	aracne_Microglia_B6J
Lrmda	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.12334823393417418	aracne_Microglia_B6J
8030442B05Rik	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07677661749372273	aracne_Microglia_B6J
Phactr1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.0915123750992592	aracne_Microglia_B6J
Cdk14	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07627692382720017	aracne_Microglia_B6J
Stab1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.11567812400552911	aracne_Microglia_B6J
Phactr2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07362324371925635	aracne_Microglia_B6J
Kmt2d	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.022366600626320007	aracne_Microglia_B6J
Rbbp6	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.07252671436891442	aracne_Microglia_B6J
Pvt1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.08920237623707011	aracne_Microglia_B6J
Nlgn1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.061159181345512036	aracne_Microglia_B6J
Wwox	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06908675950253014	aracne_Microglia_B6J
Slc12a2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0690576911133333	aracne_Microglia_B6J
Opcml	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.07971349218983627	aracne_Microglia_B6J
Ppm1l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.0684699888145675	aracne_Microglia_B6J
Lars2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06492115312467767	aracne_Microglia_B6J
Cask	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.06014161464907609	aracne_Microglia_B6J
Gm47283	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.018151113173925964	aracne_Microglia_B6J
Kcnma1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.06081632242277899	aracne_Microglia_B6J
Rcbtb2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.05704520140501753	aracne_Microglia_B6J
Prpf38b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.016487486521441552	aracne_Microglia_B6J
Rtn1	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.054691905195588704	aracne_Microglia_B6J
Bbs9	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.020704028490552282	aracne_Microglia_B6J
Ext1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.028566162581562284	aracne_Microglia_B6J
Lrp1b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.052058237841992885	aracne_Microglia_B6J
Rora	28	0.19444444444444445	1	0.006944444444444444	27	0.1875	58.0	0.09281191923880983	aracne_Microglia_B6J
Nol4l	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.015773178085432472	aracne_Microglia_B6J
Lcorl	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.014996292622134054	aracne_Microglia_B6J
Pde4b	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.041295064259472845	aracne_Microglia_B6J
Mthfs	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.05000159946342763	aracne_Microglia_B6J
Hivep2	3	0.020833333333333332	1	0.006944444444444444	2	0.013888888888888888	6.0	0.021701569484079086	aracne_Microglia_B6J
Mlxipl	3	0.020833333333333332	0	0.0	3	0.020833333333333332	0.0	0.004531463647689879	aracne_Microglia_B6J
Arhgef40	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.00022100325422096524	aracne_Microglia_B6J
Slc16a7	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04850509969062506	aracne_Microglia_B6J
Eps15	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.04795055113691874	aracne_Microglia_B6J
Pcdh9	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.039077955093165945	aracne_Microglia_B6J
Slf2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.038663234882996486	aracne_Microglia_B6J
Magi2	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.05815587424647444	aracne_Microglia_B6J
