	degree_all	degree_centrality_all	degree_in	degree_centrality_in	degree_out	degree_centrality_out	betweenness_centrality	eigenvector_centrality	cluster
Ylpm1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04003032118424913	aracne_Microglia_CASTJ
Nrxn3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.10291410742008171	aracne_Microglia_CASTJ
Pid1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.06747461649665101	aracne_Microglia_CASTJ
Ntm	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.061148765599346955	aracne_Microglia_CASTJ
Nr3c2	2	0.025974025974025976	1	0.012987012987012988	1	0.012987012987012988	4.0	0.03336217568182746	aracne_Microglia_CASTJ
Lsamp	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.08926917151925993	aracne_Microglia_CASTJ
Ppm1l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.05601993587554229	aracne_Microglia_CASTJ
Immp2l	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0017615580993720651	aracne_Microglia_CASTJ
Malat1	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.07135528474850993	aracne_Microglia_CASTJ
Fyn	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03922859356548274	aracne_Microglia_CASTJ
Kcnma1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.027932894435983634	aracne_Microglia_CASTJ
Lrrc4c	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.037154513899187364	aracne_Microglia_CASTJ
Kmt2d	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.03709246117141669	aracne_Microglia_CASTJ
Mthfs	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.027254396256026055	aracne_Microglia_CASTJ
ENSMUSG00000062991.10	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.04842886099978503	aracne_Microglia_CASTJ
Nav3	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.02674852525445398	aracne_Microglia_CASTJ
Opcml	2	0.025974025974025976	2	0.025974025974025976	0	0.0	0.0	0.06587798226321678	aracne_Microglia_CASTJ
Wwp1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0331546856564423	aracne_Microglia_CASTJ
Rbbp6	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0253386009408618	aracne_Microglia_CASTJ
Grm3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.023940634668795237	aracne_Microglia_CASTJ
Rbpj	1	0.012987012987012988	0	0.0	1	0.012987012987012988	0.0	0.0011023161895670297	aracne_Microglia_CASTJ
Rora	2	0.025974025974025976	0	0.0	2	0.025974025974025976	0.0	0.010506542637948488	aracne_Microglia_CASTJ
Lcorl	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0004176820808396539	aracne_Microglia_CASTJ
Fat3	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.0388908937276182	aracne_Microglia_CASTJ
Gas7	1	0.012987012987012988	0	0.0	1	0.012987012987012988	0.0	1.611197967756414e-19	aracne_Microglia_CASTJ
Srgap2	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	2.6853299462606903e-19	aracne_Microglia_CASTJ
Syt1	1	0.012987012987012988	1	0.012987012987012988	0	0.0	0.0	0.01634422369382638	aracne_Microglia_CASTJ
Zeb2	74	0.5138888888888888	3	0.020833333333333332	71	0.4930555555555556	422.0	1.0	aracne_Microglia_B6J
Srrm2	6	0.041666666666666664	6	0.041666666666666664	0	0.0	0.0	0.3790409814711565	aracne_Microglia_B6J
Kmt2a	16	0.1111111111111111	1	0.006944444444444444	15	0.10416666666666667	38.0	0.30680935059090664	aracne_Microglia_B6J
Son	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.272125607835659	aracne_Microglia_B6J
Klf12	49	0.3402777777777778	5	0.034722222222222224	44	0.3055555555555556	459.0	0.8205759988482727	aracne_Microglia_B6J
Magi1	5	0.034722222222222224	5	0.034722222222222224	0	0.0	0.0	0.29803166017235694	aracne_Microglia_B6J
Hexb	6	0.041666666666666664	6	0.041666666666666664	0	0.0	0.0	0.13900718989951222	aracne_Microglia_B6J
Cmss1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.21888379397277727	aracne_Microglia_B6J
Abca1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.2650381481094461	aracne_Microglia_B6J
Celf2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.13503588960506957	aracne_Microglia_B6J
Dpp10	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.160218515478825	aracne_Microglia_B6J
Pid1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.21127143718922284	aracne_Microglia_B6J
Ptprd	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.17785951905777453	aracne_Microglia_B6J
Parp8	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.19360188513290594	aracne_Microglia_B6J
P3h2	1	0.006944444444444444	1	0.006944444444444444	0	0.0	0.0	0.09848624667478266	aracne_Microglia_B6J
Plcl1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.21122816630629276	aracne_Microglia_B6J
Arsb	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.20010217454517126	aracne_Microglia_B6J
Cadm1	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.20762002670089028	aracne_Microglia_B6J
Hdac9	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.1368260070387404	aracne_Microglia_B6J
E230029C05Rik	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.18928106422618557	aracne_Microglia_B6J
Mctp1	3	0.020833333333333332	3	0.020833333333333332	0	0.0	0.0	0.22502501278483134	aracne_Microglia_B6J
Ly86	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.18872813613478095	aracne_Microglia_B6J
Ptprm	4	0.027777777777777776	4	0.027777777777777776	0	0.0	0.0	0.2008410486297395	aracne_Microglia_B6J
Rapgef5	2	0.013888888888888888	2	0.013888888888888888	0	0.0	0.0	0.17863213694527155	aracne_Microglia_B6J
